rank,ticker,price,expiration,dte,strike,delta,premium,return_pct,cash_required,bid,ask,spread,spread_pct,volume,open_interest,iv_rank,current_iv,term_structure,earnings_status,quality_score,option_code
1,SNAP,50.0,2026-02-13,30,57.5,0.575,1.72,2.99,5750.0,1.72,1.82,0.1,5.65,1500,5000,70.2,35.0,NEUTRAL,"UNVERIFIED - earnings date not found, verify manually",75.0,US.SNAPXXXXP00057499
2,RCL,50.0,2026-02-13,30,57.5,0.575,1.72,2.99,5750.0,1.72,1.82,0.1,5.65,1500,5000,56.4,35.0,NEUTRAL,"UNVERIFIED - earnings date not found, verify manually",75.0,US.RCLXXXXP00057499
3,NIO,50.0,2026-02-13,30,57.5,0.575,1.72,2.99,5750.0,1.72,1.82,0.1,5.65,1500,5000,73.6,35.0,NEUTRAL,"UNVERIFIED - earnings date not found, verify manually",75.0,US.NIOXXXXP00057499
4,LCID,50.0,2026-02-13,30,57.5,0.575,1.72,2.99,5750.0,1.72,1.82,0.1,5.65,1500,5000,73.2,35.0,NEUTRAL,"UNVERIFIED - earnings date not found, verify manually",75.0,US.LCIDXXXXP00057499
5,SCHW,50.0,2026-02-13,30,57.5,0.575,1.72,2.99,5750.0,1.72,1.82,0.1,5.65,1500,5000,61.2,35.0,NEUTRAL,"UNVERIFIED - earnings date not found, verify manually",75.0,US.SCHWXXXXP00057499
6,CLF,50.0,2026-02-13,30,57.5,0.575,1.72,2.99,5750.0,1.72,1.82,0.1,5.65,1500,5000,64.0,35.0,NEUTRAL,"UNVERIFIED - earnings date not found, verify manually",75.0,US.CLFXXXXP00057499
7,PFE,50.0,2026-02-13,30,57.5,0.575,1.72,2.99,5750.0,1.72,1.82,0.1,5.65,1500,5000,76.4,35.0,NEUTRAL,"UNVERIFIED - earnings date not found, verify manually",75.0,US.PFEXXXXP00057499
8,CRWD,50.0,2026-02-13,30,57.5,0.575,1.72,2.99,5750.0,1.72,1.82,0.1,5.65,1500,5000,77.6,35.0,NEUTRAL,"UNVERIFIED - earnings date not found, verify manually",75.0,US.CRWDXXXXP00057499
9,ZS,50.0,2026-02-13,30,57.5,0.575,1.72,2.99,5750.0,1.72,1.82,0.1,5.65,1500,5000,65.4,35.0,NEUTRAL,"UNVERIFIED - earnings date not found, verify manually",75.0,US.ZSXXXXP00057499
10,MDB,50.0,2026-02-13,30,57.5,0.575,1.72,2.99,5750.0,1.72,1.82,0.1,5.65,1500,5000,66.6,35.0,NEUTRAL,"UNVERIFIED - earnings date not found, verify manually",75.0,US.MDBXXXXP00057499
11,SNOW,50.0,2026-02-13,30,57.5,0.575,1.72,2.99,5750.0,1.72,1.82,0.1,5.65,1500,5000,76.2,35.0,NEUTRAL,"UNVERIFIED - earnings date not found, verify manually",75.0,US.SNOWXXXXP00057499
12,COIN,50.0,2026-02-13,30,57.5,0.575,1.72,2.99,5750.0,1.72,1.82,0.1,5.65,1500,5000,52.5,35.0,NEUTRAL,"UNVERIFIED - earnings date not found, verify manually",75.0,US.COINXXXXP00057499
13,AMD,125.0,2026-02-13,30,143.75,0.575,1.72,1.2,14375.0,1.72,1.82,0.1,5.65,1500,5000,69.1,35.0,NEUTRAL,"UNVERIFIED - earnings date not found, verify manually",66.0,US.AMDXXXXP00143750
14,GM,50.0,2026-02-13,30,57.5,0.575,1.72,2.99,5750.0,1.72,1.82,0.1,5.65,1500,5000,49.3,35.0,NEUTRAL,"UNVERIFIED - earnings date not found, verify manually",65.0,US.GMXXXXP00057499
15,WFC,50.0,2026-02-13,30,57.5,0.575,1.72,2.99,5750.0,1.72,1.82,0.1,5.65,1500,5000,46.0,35.0,NEUTRAL,"UNVERIFIED - earnings date not found, verify manually",65.0,US.WFCXXXXP00057499
16,BAC,50.0,2026-02-13,30,57.5,0.575,1.72,2.99,5750.0,1.72,1.82,0.1,5.65,1500,5000,43.0,35.0,NEUTRAL,"UNVERIFIED - earnings date not found, verify manually",65.0,US.BACXXXXP00057499
17,DIS,50.0,2026-02-13,30,57.5,0.575,1.72,2.99,5750.0,1.72,1.82,0.1,5.65,1500,5000,41.9,35.0,NEUTRAL,"UNVERIFIED - earnings date not found, verify manually",65.0,US.DISXXXXP00057499
18,C,50.0,2026-02-13,30,57.5,0.575,1.72,2.99,5750.0,1.72,1.82,0.1,5.65,1500,5000,34.5,35.0,NEUTRAL,"UNVERIFIED - earnings date not found, verify manually",55.0,US.CXXXXP00057499
19,UBER,50.0,2026-02-13,30,57.5,0.575,1.72,2.99,5750.0,1.72,1.82,0.1,5.65,1500,5000,32.3,35.0,NEUTRAL,"UNVERIFIED - earnings date not found, verify manually",55.0,US.UBERXXXXP00057499
20,PYPL,50.0,2026-02-13,30,57.5,0.575,1.72,2.99,5750.0,1.72,1.82,0.1,5.65,1500,5000,38.5,35.0,NEUTRAL,"UNVERIFIED - earnings date not found, verify manually",55.0,US.PYPLXXXXP00057499
21,ABNB,50.0,2026-02-13,30,57.5,0.575,1.72,2.99,5750.0,1.72,1.82,0.1,5.65,1500,5000,33.0,35.0,NEUTRAL,"UNVERIFIED - earnings date not found, verify manually",55.0,US.ABNBXXXXP00057499
22,SBUX,50.0,2026-02-13,30,57.5,0.575,1.72,2.99,5750.0,1.72,1.82,0.1,5.65,1500,5000,33.9,35.0,NEUTRAL,"UNVERIFIED - earnings date not found, verify manually",55.0,US.SBUXXXXXP00057499
23,TGT,50.0,2026-02-13,30,57.5,0.575,1.72,2.99,5750.0,1.72,1.82,0.1,5.65,1500,5000,35.4,35.0,NEUTRAL,"UNVERIFIED - earnings date not found, verify manually",55.0,US.TGTXXXXP00057499
24,INTC,22.5,2026-02-13,30,23.62,0.525,1.58,6.69,2362.0,1.58,1.68,0.1,6.13,1500,5000,1.6,35.0,NEUTRAL,"UNVERIFIED - earnings date not found, verify manually",45,US.INTCXXXXP00023625
25,PLTR,45.0,2026-02-13,30,51.75,0.575,1.72,3.32,5175.0,1.72,1.82,0.1,5.65,1500,5000,7.5,35.0,NEUTRAL,"UNVERIFIED - earnings date not found, verify manually",45,US.PLTRXXXXP00051749
26,PATH,50.0,2026-02-13,30,57.5,0.575,1.72,2.99,5750.0,1.72,1.82,0.1,5.65,1500,5000,13.6,35.0,NEUTRAL,"UNVERIFIED - earnings date not found, verify manually",45.0,US.PATHXXXXP00057499
27,RBLX,50.0,2026-02-13,30,57.5,0.575,1.72,2.99,5750.0,1.72,1.82,0.1,5.65,1500,5000,19.7,35.0,NEUTRAL,"UNVERIFIED - earnings date not found, verify manually",45.0,US.RBLXXXXXP00057499
28,AAL,50.0,2026-02-13,30,57.5,0.575,1.72,2.99,5750.0,1.72,1.82,0.1,5.65,1500,5000,13.0,35.0,NEUTRAL,"UNVERIFIED - earnings date not found, verify manually",45.0,US.AALXXXXP00057499
29,DAL,50.0,2026-02-13,30,57.5,0.575,1.72,2.99,5750.0,1.72,1.82,0.1,5.65,1500,5000,17.8,35.0,NEUTRAL,"UNVERIFIED - earnings date not found, verify manually",45.0,US.DALXXXXP00057499
30,UAL,50.0,2026-02-13,30,57.5,0.575,1.72,2.99,5750.0,1.72,1.82,0.1,5.65,1500,5000,13.1,35.0,NEUTRAL,"UNVERIFIED - earnings date not found, verify manually",45.0,US.UALXXXXP00057499
31,CCL,50.0,2026-02-13,30,57.5,0.575,1.72,2.99,5750.0,1.72,1.82,0.1,5.65,1500,5000,14.9,35.0,NEUTRAL,"UNVERIFIED - earnings date not found, verify manually",45.0,US.CCLXXXXP00057499
32,RIVN,50.0,2026-02-13,30,57.5,0.575,1.72,2.99,5750.0,1.72,1.82,0.1,5.65,1500,5000,4.0,35.0,NEUTRAL,"UNVERIFIED - earnings date not found, verify manually",45.0,US.RIVNXXXXP00057499
33,FCX,50.0,2026-02-13,30,57.5,0.575,1.72,2.99,5750.0,1.72,1.82,0.1,5.65,1500,5000,16.9,35.0,NEUTRAL,"UNVERIFIED - earnings date not found, verify manually",45.0,US.FCXXXXXP00057499
34,LYFT,50.0,2026-02-13,30,57.5,0.575,1.72,2.99,5750.0,1.72,1.82,0.1,5.65,1500,5000,13.5,35.0,NEUTRAL,"UNVERIFIED - earnings date not found, verify manually",45.0,US.LYFTXXXXP00057499
35,XYZ,50.0,2026-02-13,30,57.5,0.575,1.72,2.99,5750.0,1.72,1.82,0.1,5.65,1500,5000,18.8,35.0,NEUTRAL,"UNVERIFIED - earnings date not found, verify manually",45.0,US.XYZXXXXP00057499
36,SHOP,50.0,2026-02-13,30,57.5,0.575,1.72,2.99,5750.0,1.72,1.82,0.1,5.65,1500,5000,10.5,35.0,NEUTRAL,"UNVERIFIED - earnings date not found, verify manually",45.0,US.SHOPXXXXP00057499
37,DDOG,50.0,2026-02-13,30,57.5,0.575,1.72,2.99,5750.0,1.72,1.82,0.1,5.65,1500,5000,20.7,35.0,NEUTRAL,"UNVERIFIED - earnings date not found, verify manually",45.0,US.DDOGXXXXP00057499
38,NET,50.0,2026-02-13,30,57.5,0.575,1.72,2.99,5750.0,1.72,1.82,0.1,5.65,1500,5000,19.6,35.0,NEUTRAL,"UNVERIFIED - earnings date not found, verify manually",45.0,US.NETXXXXP00057499
39,NKE,50.0,2026-02-13,30,57.5,0.575,1.72,2.99,5750.0,1.72,1.82,0.1,5.65,1500,5000,28.2,35.0,NEUTRAL,"UNVERIFIED - earnings date not found, verify manually",45.0,US.NKEXXXXP00057499
40,MSTR,50.0,2026-02-13,30,57.5,0.575,1.72,2.99,5750.0,1.72,1.82,0.1,5.65,1500,5000,2.4,35.0,NEUTRAL,"UNVERIFIED - earnings date not found, verify manually",45.0,US.MSTRXXXXP00057499
